RoomId,RoomNumber,RoomName,Level,Area (SF),Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft),Boundary Loop,Segment Index,Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Boundary Element Id
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,21,67.111,169.333,0,67.111,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,22,67.111,169.666,0,65.986,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,23,65.986,169.666,0,65.986,169.333,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,24,65.986,169.333,0,65.132,169.333,0,1776132
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,25,65.132,169.333,0,65.132,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,26,65.132,169.666,0,57.632,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,27,57.632,169.666,0,57.632,169.333,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,28,57.632,169.333,0,52.611,169.333,0,1776011
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,29,52.611,169.333,0,52.611,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,30,52.611,169.666,0,51.548,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,31,51.548,169.666,0,51.548,169.104,0,1780566
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,32,51.548,169.104,0,52.382,169.104,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,33,52.382,169.104,0,52.382,168.249,0,2175262
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,34,52.382,168.249,0,51.715,168.249,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,35,51.715,168.249,0,51.715,160.749,0,2437537
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,36,51.715,160.749,0,52.382,160.749,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,37,52.382,160.749,0,52.382,141.229,0,1949173
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,38,52.382,141.229,0,51.548,141.229,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,39,51.548,141.229,0,51.548,140.666,0,1780566
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,40,51.548,140.666,0,52.048,140.666,0,1438966
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,41,52.048,140.666,0,52.048,141.01,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,42,52.048,141.01,0,66.215,141.01,0,1936236
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,43,66.215,141.01,0,67.111,141.01,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,44,67.111,141.01,0,80.486,141.01,0,1937506
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,45,80.486,141.01,0,81.611,141.01,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,46,81.611,141.01,0,94.986,141.01,0,1937749
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,47,94.986,141.01,0,96.111,141.01,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,48,96.111,141.01,0,109.486,141.01,0,1937918
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,49,109.486,141.01,0,110.611,141.01,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,50,110.611,141.01,0,124.444,141.01,0,1938089
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,51,124.444,141.01,0,124.444,154.833,0,1938195
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,52,124.444,154.833,0,109.715,154.833,0,1403682
1773232,184,Room Name 184,L 0,22.58,225.563,113.726,186.224,0,1,1,110.382,184.51,0,117.07,184.51,0,2178442
1773232,184,Room Name 184,L 0,22.58,225.563,113.726,186.224,0,1,2,117.07,184.51,0,117.07,187.886,0,2181841
1773232,184,Room Name 184,L 0,22.58,225.563,113.726,186.224,0,1,3,117.07,187.886,0,110.382,187.886,0,2182380
1773232,184,Room Name 184,L 0,22.58,225.563,113.726,186.224,0,1,4,110.382,187.886,0,110.382,184.51,0,2181649
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,1,118.965,170.02,0,124.069,170.02,0,1403081
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,2,124.069,170.02,0,124.069,169.666,0,
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,3,124.069,169.666,0,124.548,169.666,0,1780464
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,4,124.548,169.666,0,124.548,183.822,0,1439911
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,5,124.548,183.822,0,117.403,183.822,0,2178442
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,6,117.403,183.822,0,110.048,183.822,0,2178442
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,7,110.048,183.822,0,101.419,183.822,0,2178442
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,8,101.419,183.822,0,98.61,183.822,0,2178442
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,9,98.61,183.822,0,88.402,183.822,0,2200463
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,10,88.402,183.822,0,77.473,183.822,0,2200463
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,11,77.473,183.822,0,75.473,183.822,0,2200463
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,12,75.473,183.822,0,72.099,183.822,0,2200463
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,13,72.099,183.822,0,66.215,183.822,0,2001613
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,14,66.215,183.822,0,66.215,198.666,0,1780288
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,15,66.215,198.666,0,8.548,198.666,0,1439459
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,16,8.548,198.666,0,8.548,140.666,0,1439166
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,17,8.548,140.666,0,51.548,140.666,0,1438966
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,18,51.548,140.666,0,51.548,141.229,0,1780566
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,19,51.548,141.229,0,51.548,169.104,0,1780566
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,20,51.548,169.104,0,51.548,169.666,0,1780566
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,21,51.548,169.666,0,52.611,169.666,0,1780464
1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,1,22,52.611,169.666,0,52.611,170.02,0,
